review_id,order_id,customer_id,restaurant_id,review_text,rating,review_timestamp
REV-000040,ORD-20260103-692353,CUST-10327,REST-MUC-001,Pleasant meal! Sauerkraut arrived warm. Sauerkraut was tasty though not exceptional. Would order again.,4,2026-01-09T11:22:30.581094
REV-000041,ORD-20260103-655543,CUST-10180,REST-BER-001,Shocking! Schwarzwälder Kirschtorte  Rote Grütze mit Sahne  Leberknödelsuppe  and Obatzda mit Brezn bore no resemblance to the menu description. Obatzda mit Brezn was inedible. Refund demanded!,1,2026-01-10T21:50:37.581094
REV-000043,ORD-20260107-413502,CUST-10000,REST-MUC-001,Absolutely amazing Hefeweizen (0.5L)! The Hefeweizen (0.5L) was cooked to perfection. Fresh ingredients and authentic flavors. Highly recommend!,5,2026-01-11T21:47:31.581094
REV-000042,ORD-20260106-993552,CUST-10280,REST-BER-001,Absolutely amazing Schweinshaxe  Apfelschorle  Kartoffelsalat  and Currywurst Snack! The Schweinshaxe was cooked to perfection. Fresh ingredients and authentic flavors. Highly recommend!,5,2026-01-12T21:35:05.581094
REV-000044,ORD-20260109-886380,CUST-10112,REST-BER-001,Good quality food. Flammkuchen and Schwarzwälder Kirschtorte were nicely done. Flammkuchen could have been slightly spicier but still good!,4,2026-01-13T16:24:07.581094
REV-000045,ORD-20260111-694811,CUST-10155,REST-MUC-002,Average experience. Kartoffelsalat  Currywurst Snack  and Leberknödelsuppe were fine but Currywurst Snack was a bit bland. Room for improvement.,3,2026-01-15T15:48:48.581094
REV-000046,ORD-20260113-377705,CUST-10181,REST-BER-002,Wow! Just wow! Currywurst Snack  Rote Grütze mit Sahne  Bratkartoffeln  and Wiener Schnitzel were all fantastic. Currywurst Snack was particularly memorable. Can't wait to order again!,5,2026-01-17T21:12:15.581094
REV-000048,ORD-20260120-507668,CUST-10352,REST-MUC-001,Exceptional quality! Ordered Apfelstrudel mit Vanillesoße  Schweinshaxe  Rotkohl  Kartoffelsalat  and Kartoffelknödel mit Pilzrahmsoße and everything was delicious. The Kartoffelknödel mit Pilzrahmsoße melted in my mouth. Perfect!,5,2026-01-22T14:46:38.581094
REV-000047,ORD-20260118-447041,CUST-10161,REST-HAM-001,Unsatisfactory. Leberknödelsuppe  Dampfnudel mit Vanillesoße  Rotkohl  and Schweinshaxe were not fresh. Schweinshaxe tasted reheated. Won't order again.,2,2026-01-24T20:46:11.581094
REV-000049,ORD-20260127-407806,CUST-10178,REST-MUC-002,Incredible meal! Semmelknödel  Schwarzwälder Kirschtorte  Flammkuchen  Obatzda mit Brezn  and Apfelschorle arrived hot and fresh. The Schwarzwälder Kirschtorte was absolutely divine. Highly satisfied!,5,2026-02-02T11:17:41.581094
REV-000053,ORD-20260130-767866,CUST-10292,REST-HAM-001,Great food overall. Rote Grütze mit Sahne were tasty  especially the Rote Grütze mit Sahne. Would order again!,4,2026-02-02T19:48:37.581094
REV-000052,ORD-20260130-652145,CUST-10407,REST-HAM-001,Absolutely horrible! Rotkohl  Dampfnudel mit Vanillesoße  and Spätzle Butter arrived ice cold after 2 hour delay. Rotkohl was spoiled. Disgusting!,1,2026-02-05T11:33:18.581094
REV-000050,ORD-20260129-717072,CUST-10145,REST-HAM-001,Hands down the best Bratwurst mit Sauerkraut I've ever had! Apfelstrudel mit Vanillesoße  Käsespätzle  and Bratwurst mit Sauerkraut were all prepared beautifully. Fresh and flavorful!,5,2026-02-05T22:35:35.581094
REV-000051,ORD-20260130-828984,CUST-10225,REST-BER-001,Good quality food. Obatzda mit Brezn  Wiener Schnitzel  Märzen (0.5L)  and Kartoffelsalat were nicely done. Wiener Schnitzel could have been slightly spicier but still good!,4,2026-02-06T10:26:22.581094
REV-000055,ORD-20260203-896664,CUST-10178,REST-HAM-001,Unsatisfactory. Wiener Schnitzel  Gemüseschnitzel  Semmelknödel  and Kartoffelsalat were not fresh. Gemüseschnitzel tasted reheated. Won't order again.,2,2026-02-06T18:43:52.581094
REV-000054,ORD-20260203-762082,CUST-10067,REST-BER-002,Exceptional quality! Ordered Sauerkraut and everything was delicious. The Sauerkraut melted in my mouth. Perfect!,5,2026-02-08T11:29:15.581094
REV-000057,ORD-20260210-864714,CUST-10057,REST-HAM-001,It was okay. Schwarzwälder Kirschtorte arrived lukewarm. Schwarzwälder Kirschtorte tasted fine but could be better.,3,2026-02-12T16:21:29.581094
REV-000056,ORD-20260208-454972,CUST-10494,REST-BER-002,Terrible experience! Dampfnudel mit Vanillesoße were all inedible. Dampfnudel mit Vanillesoße was completely burnt. Waste of money!,1,2026-02-12T18:45:54.581094
REV-000058,ORD-20260210-699511,CUST-10161,REST-MUC-001,Perfect in every way! Bratkartoffeln and Schwarzwälder Kirschtorte were all excellent. Schwarzwälder Kirschtorte stood out with its rich  authentic taste.,5,2026-02-14T22:28:56.581094
REV-000059,ORD-20260211-554436,CUST-10038,REST-MUC-002,Best Indian food in UAE! Kartoffelsalat were incredible. Kartoffelsalat had the perfect balance of spices. Five stars!,5,2026-02-18T17:04:26.581094
REV-000060,ORD-20260217-994412,CUST-10198,REST-BER-001,Wow! Just wow! Flammkuchen  Rote Grütze mit Sahne  Käsespätzle  Apfelstrudel mit Vanillesoße  and Hefeweizen (0.5L) were all fantastic. Flammkuchen was particularly memorable. Can't wait to order again!,5,2026-02-21T14:54:26.581094
REV-000061,ORD-20260218-515847,CUST-10485,REST-HAM-001,Pleasant meal! Apfelschorle  Kartoffelsalat  and Leberknödelsuppe arrived warm. Leberknödelsuppe was tasty though not exceptional. Would order again.,4,2026-02-25T19:10:29.581094
REV-000062,ORD-20260222-643633,CUST-10104,REST-BER-001,Mixed feelings. Laugenbrezel mit Obatzda & Salat and Gemüseschnitzel were acceptable. Gemüseschnitzel was decent but portion was small for the price.,3,2026-02-25T20:30:10.581094
REV-000064,ORD-20260224-950813,CUST-10170,REST-BER-002,Perfect in every way! Gemüseschnitzel  Rotkohl  Kartoffelsalat  Flammkuchen  and Obatzda mit Brezn were all excellent. Rotkohl stood out with its rich  authentic taste.,5,2026-02-28T15:36:50.581094
REV-000066,ORD-20260228-640963,CUST-10074,REST-HAM-001,Exceptional quality! Ordered Bratkartoffeln and everything was delicious. The Bratkartoffeln melted in my mouth. Perfect!,5,2026-03-02T11:10:42.581094
REV-000063,ORD-20260223-122113,CUST-10476,REST-MUC-002,Very satisfied! Bratwurst mit Sauerkraut and Schweinshaxe were fresh and flavorful. Schweinshaxe was the standout dish.,4,2026-03-02T11:45:27.581094
REV-000065,ORD-20260226-287910,CUST-10421,REST-BER-002,Wow! Just wow! Wiener Schnitzel were all fantastic. Wiener Schnitzel was particularly memorable. Can't wait to order again!,5,2026-03-05T13:52:44.581094
REV-000067,ORD-20260307-541894,CUST-10354,REST-BER-002,Incredible meal! Rote Grütze mit Sahne  Leberknödelsuppe  and Kartoffelsuppe arrived hot and fresh. The Leberknödelsuppe was absolutely divine. Highly satisfied!,5,2026-03-14T10:02:28.581094
REV-000068,ORD-20260308-993832,CUST-10087,REST-HAM-001,Mediocre. Spezi  Bratwurst mit Sauerkraut  and Flammkuchen were fine but forgettable. Bratwurst mit Sauerkraut didn't stand out.,3,2026-03-15T16:08:30.581094
REV-000070,ORD-20260315-209978,CUST-10058,REST-BER-001,Good quality food. Hefeweizen (0.5L)  Dampfnudel mit Vanillesoße  and Apfelstrudel mit Vanillesoße were nicely done. Apfelstrudel mit Vanillesoße could have been slightly spicier but still good!,4,2026-03-17T11:13:01.581094
REV-000069,ORD-20260312-500780,CUST-10054,REST-BER-002,Appalling quality! Rote Grütze mit Sahne  Reibekuchen mit Apfelmus  Currywurst Snack  and Schwarzwälder Kirschtorte were swimming in oil. Reibekuchen mit Apfelmus was raw inside. Health hazard!,1,2026-03-17T22:16:23.581094
REV-000073,ORD-20260320-877368,CUST-10149,REST-MUC-001,Great food overall. Märzen (0.5L) were tasty  especially the Märzen (0.5L). Would order again!,4,2026-03-21T17:16:40.581094
REV-000072,ORD-20260320-672508,CUST-10279,REST-MUC-002,Perfect in every way! Rote Grütze mit Sahne were all excellent. Rote Grütze mit Sahne stood out with its rich  authentic taste.,5,2026-03-23T11:15:43.581094
REV-000071,ORD-20260319-565180,CUST-10429,REST-BER-001,Very satisfied! Currywurst Snack  Märzen (0.5L)  and Rinderroulade were fresh and flavorful. Märzen (0.5L) was the standout dish.,4,2026-03-24T20:01:46.581094
REV-000075,ORD-20260321-298142,CUST-10379,REST-BER-001,Really good Kartoffelsalat  Laugenbrezel mit Obatzda & Salat  Rote Grütze mit Sahne  and Semmelknödel! The Kartoffelsalat was delicious. Slight delay in delivery but food quality made up for it.,4,2026-03-25T16:22:32.581094
REV-000074,ORD-20260321-498591,CUST-10237,REST-BER-001,Hands down the best Semmelknödel I've ever had! Hefeweizen (0.5L)  Käsespätzle  Apfelstrudel mit Vanillesoße  and Semmelknödel were all prepared beautifully. Fresh and flavorful!,5,2026-03-27T13:59:49.581094
REV-000076,ORD-20260324-389335,CUST-10491,REST-BER-002,Really good Leberknödelsuppe! The Leberknödelsuppe was delicious. Slight delay in delivery but food quality made up for it.,4,2026-03-30T22:45:14.581094
